ID	Name	Type	Mana	Attack	Defense	Abilities	Attack Value	Curve	Low HP TAX	Mana Efficiency	SUM	PHP	OHP	Draw	Text
64	 Coppershell Tortoise 	 creature 	2	2	2	 ---G-W 	3	-2	0	0.666666667	1.666666667	0	0	0	 
84	 Fighter Tick 	 creature 	2	2	2	 -CD--W 	3	-2	0	0.666666667	1.666666667	0	0	0	 
85	 Heartless Crow 	 creature 	3	2	3	 -C---- 	2	-1	0	0.555555556	1.555555556	0	0	0	 
40	 Rock Gobbler 	 creature 	3	2	3	 --DG-- 	2	-1	0	0.555555556	1.555555556	0	0	0	 
57	 Dream-Eater 	 creature 	4	1	8	 ------ 	0.75	0	0	0.75	1.5	0	0	0	 
38	 Imp 	 creature 	1	1	3	 --D--- 	3	-3	0	1.333333333	1.333333333	0	0	0	 
113	 Tamed Bilespitter 	 creature 	6	2	4	 ---G-- 	1	-2	-2	0.333333333	-2.666666667	4	0	0	 Summon: You gain 4 health. 
34	 Eldritch Cyclops 	 creature 	5	3	5	 ------ 	1.8	-1	0	0.533333333	1.333333333	0	0	1	 Summon: Draw a card. 
78	 Shambler 	 creature 	8	5	5	 B----- 	1.875	-4	-3	0.416666667	-4.708333333	0	-5	0	 Summon: Deal 5 damage to your opponent. 
90	 Eldritch Swooper 	 creature 	8	5	5	 -C---- 	1.875	-4	-3	0.416666667	-4.708333333	0	0	0	 
23	 Titan Cave Hog 	 creature 	7	8	8	 ------ 	3.428571429	-3	0	0.761904762	1.19047619	0	0	0	 
37	 Eldritch Multiclops 	 creature 	6	5	7	 ------ 	2.5	-2	0	0.666666667	1.166666667	0	0	1	 Summon: Draw a card. 
58	 Darkscale Predator 	 creature 	6	5	6	 B----- 	2.5	-2	0	0.611111111	1.111111111	0	0	0	 
2	 Scuttler 	 creature 	1	1	2	 ------ 	3	-3	0	1	1	0	-1	0	 Summon: Deal 1 damage to your opponent. 
100	 Stalagopod 	 creature 	3	1	6	 ---G-- 	1	-1	0	0.777777778	0.777777778	0	0	0	 
108	 Rootkin Elder 	 creature 	5	2	6	 ---G-- 	1.2	-1	0	0.533333333	0.733333333	0	0	0	 
24	 Exploding Skitterbug 	 creature 	1	1	1	 ------ 	3	-3	0	0.666666667	0.666666667	0	-1	0	 Summon: Deal 1 damage to your opponent. 
48	 Venom Hedgehog 	 creature 	1	1	1	 ----L- 	3	-3	0	0.666666667	0.666666667	0	0	0	 
59	 Sea Ghost 	 creature 	7	7	7	 ------ 	3	-3	0	0.666666667	0.666666667	1	-1	0	 Summon: You gain 1 health and deal\n1 damage to your opponent. 
77	 Lumbering Giant 	 creature 	7	7	7	 B----- 	3	-3	0	0.666666667	0.666666667	0	0	0	 
114	 Gargantua 	 creature 	7	7	7	 ---G-- 	3	-3	0	0.666666667	0.666666667	0	0	0	 
86	 Crazed Nose-pincher 	 creature 	3	1	5	 -C---- 	1	-1	0	0.666666667	0.666666667	0	0	0	 
112	 Rootkin Leader 	 creature 	6	4	7	 ---G-- 	2	-2	0	0.611111111	0.611111111	0	0	0	 
115	 Rootkin Warchief 	 creature 	8	10	10	 ---G-W 	3.75	-4	0	0.833333333	0.583333333	0	0	0	 
4	 Plated Toad 	 creature 	2	1	5	 ------ 	1.5	-2	0	1	0.5	0	0	0	 
47	 Gnipper 	 creature 	2	1	5	 --D--- 	1.5	-2	0	1	0.5	0	0	0	 
81	 Flying Corpse Guzzler 	 creature 	9	6	6	 BC---- 	2	-5	-3	0.444444444	-5.555555556	0	0	0	 
94	 Rootkin Defender 	 creature 	2	1	4	 ---G-- 	1.5	-2	0	0.833333333	0.333333333	0	0	0	 
44	 Deathstalker 	 creature 	6	3	7	 --D-L- 	1.5	-2	0	0.555555556	0.055555556	0	0	0	 
83	 Restless Owl 	 creature 	0	1	1	 -C---- 	3	-4	0	1	0	0	0	0	 
91	 Flumpy 	 creature 	0	1	2	 ---G-- 	3	-4	0	1	0	0	1	0	 Summon: Your opponent gains 1 health.
28	 Infested Toad 	 creature 	2	1	2	 ------ 	1.5	-2	0	0.5	0	0	0	1	 Summon: Draw a card. 
49	 Shiny Prowler 	 creature 	2	1	2	 ---GL- 	1.5	-2	0	0.5	0	0	0	0	 
46	 Soul Devourer 	 creature 	9	7	7	 --D--- 	2.333333333	-5	-2	0.518518519	-4.148148148	0	0	0	 
79	 Scarlet Colossus 	 creature 	8	8	8	 B----- 	3	-4	0	0.666666667	-0.333333333	0	0	0	 
80	 Corpse Guzzler 	 creature 	8	8	8	 B--G-- 	3	-4	0	0.666666667	-0.333333333	0	0	1	 Summon: Draw a card. 
110	 Gargoyle 	 creature 	5	0	9	 ---G-- 	0	-1	0	0.6	-0.4	0	0	0	 
63	 Rootkin Drone 	 creature 	2	0	8	 ---G-W 	0	-2	0	1.333333333	-0.666666667	0	0	0	 
60	 Gritsuck Troll 	 creature 	7	4	8	 ------ 	1.714285714	-3	0	0.571428571	-0.714285714	0	0	0	 
61	 Alpha Troll 	 creature 	9	10	10	 ------ 	3.333333333	-5	0	0.740740741	-0.925925926	0	0	0	 
55	 Hermit Slime 	 creature 	2	0	5	 ---G-- 	0	-2	0	0.833333333	-1.166666667	0	0	0	 
92	 Wurm 	 creature 	1	0	1	 ---G-- 	0	-3	0	0.333333333	-2.666666667	2	0	0	 Summon: You gain 2 health. 
116	 Emperor Nightmare 	 creature 	12	16	16	 BCDGLW 	4	-8	0	0.888888889	-3.111111111	0	0	0	 
62	 Mutant Troll 	 creature 	12	12	12	 B--G-- 	3	-8	0	0.666666667	-4.333333333	0	0	0	 
